Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series
Journal Article,"Zhang K,Liu Y,Liu J,Liu M,Başar T",,Distributed learning of average belief over networks using sequential observations,Automatica,2020,115.0,,108857,,,,2020,,0005-1098,https://www.sciencedirect.com/science/article/pii/S0005109820300558;http://dx.doi.org/10.1016/j.automatica.2020.108857,10.1016/j.automatica.2020.108857,"This paper addresses the problem of distributed learning of average belief with sequential observations, in which a network of n>1 agents aim to reach a consensus on the average value of their beliefs, by exchanging information only with their neighbors. Each agent has sequentially arriving samples of its belief in an online manner. The neighbor relationships among the n agents are described by a graph which is possibly time-varying, whose vertices correspond to agents and whose edges depict neighbor relationships. Two distributed online algorithms are introduced for undirected and directed graphs, which are both shown to converge to the average belief almost surely. Moreover, the sequences generated by both algorithms are shown to reach consensus with an O(1∕t) rate with high probability, where t is the number of iterations For undirected graphs, the corresponding algorithm is modified for the case with quantized communication and limited precision of the division operation. It is shown that the modified algorithm causes all n agents to either reach a quantized consensus or enter a small neighborhood around the average of their beliefs. Numerical simulations are then provided to corroborate the theoretical results.",,,
Journal Article,"Restrepo E,Loría A,Sarras I,Marzat J",,Robust Consensus and Connectivity-maintenance under Edge-agreement-based Protocols for Directed Spanning Tree Graphs,IFAC-PapersOnLine,2020,53.0,2,2988-2993,,,,2020,,2405-8963,https://www.sciencedirect.com/science/article/pii/S2405896320313380;http://dx.doi.org/10.1016/j.ifacol.2020.12.978,10.1016/j.ifacol.2020.12.978,"We address the consensus problem with connectivity maintenance for networks of multi-agent systems interconnected over directed spanning tree graphs in the edge-agreement space and, for the first time in the literature, we provide a strict Lyapunov function. The importance of this contribution is that it allows to establish uniform global asymptotic stability of the consensus manifold for a multi-agent system subject to proximity constraints. Moreover, robustness in the sense of input-to-state stability with respect to external disturbances is also established. These properties have not been established before when dealing with state-dependent constraints, even for a class of directed graphs, because most often in the literature only non-uniform convergence to the consensus manifold is established.","Multi-agent systems, Directed graphs, Control under communication constraints, Lyapunov methods",21st IFAC World Congress,
Journal Article,"Zhao H,Meng X,Wu S",,Distributed edge-based event-triggered coordination control for multi-agent systems,Automatica,2021,132.0,,109797,,,,2021,,0005-1098,https://www.sciencedirect.com/science/article/pii/S0005109821003174;http://dx.doi.org/10.1016/j.automatica.2021.109797,10.1016/j.automatica.2021.109797,"This paper studies edge-based event-triggered strategies for the average consensus problem in multi-agent systems. To this end, a distributed event-triggered algorithm is presented based on edge information rather than neighbor information, where positive minimum inter-event times are guaranteed between all communication links in the network. Moreover, the triggering mechanism is constructed in a fully distributed way which uses only relative state differences based on local neighborhood information without any global graph topology information. This treatment greatly reduces the communication frequency compared with continuous-time average consensus algorithms. We show that the proposed algorithm makes all agents converge to the average of their initial states asymptotically, and the positive minimum inter-event time for each link is controllable by two corresponding agents through their triggering parameters.","Fully distributed design, Edge-based protocol, Event-triggered control, Consensus, Multi-agent systems",,
Journal Article,"Qiu Z,Liu S,Xie L",,Distributed constrained optimal consensus of multi-agent systems,Automatica,2016,68.0,,209-215,,,,2016,,0005-1098,https://www.sciencedirect.com/science/article/pii/S0005109816300024;http://dx.doi.org/10.1016/j.automatica.2016.01.055,10.1016/j.automatica.2016.01.055,"We study a distributed optimal consensus problem of continuous-time multi-agent systems with a common state set constraint. Each agent is assigned with an individual cost function which is coercive and convex. A distributed control protocol is to be designed to guarantee a consensus, and in the meanwhile reach the minimizer of the aggregate cost functions within the constraint set. Three terms are included in the protocol: local averaging, local projection, and local subgradient with a diminishing but persistent gain. It is shown that the constrained optimal consensus can be achieved under a uniformly jointly connected communication network with bounded time-varying edge weights.","Multi-agent systems, Optimal consensus, Set constraint, Convex analysis, Non-smooth analysis",,
Journal Article,"Sellami B,Hakiri A,Ben Yahia S",,Deep Reinforcement Learning for energy-aware task offloading in join SDN-Blockchain 5G massive IoT edge network,Future Generation Computer Systems,2022,137.0,,363-379,,,,2022,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X22002588;http://dx.doi.org/10.1016/j.future.2022.07.024,10.1016/j.future.2022.07.024,"The Internet-of-Things (IoT) edge allows cloud computing services for topology and location-sensitive distributed computing. As an immediate benefit, it improves network reliability and latency by enabling data access and processing rapidly and efficiently near IoT devices. However, it comes with several issues stemming from the complexity, the security, the energy consumption, and the instability due to the decentralization of service localization. Furthermore, the multi-resource allocation and task scheduling make this task the furthest from being straightforward. Blockchain has been envisioned to enforce trustworthiness in diverse IoT environments. However, high latency and high energy costs are incurred to process IoT transactions. This paper introduces a novel Blockchain-based Deep Reinforcement Learning (DRL) approach to enable energy-aware task scheduling and offloading in an Software Defined Networking (SDN)-enabled IoT network. The Asynchronous Actor--Critic Agent (A3C) DRL-based policy achieves efficient task scheduling and offloading. The latter is in symbiosis with Proof-of-Authority Blockchain consensus to validate IoT transactions and blocks. By doing so, we improve reliability and low latency and achieve energy efficiency for SDN-enabled IoT networks. The A3C policy combined with the Blockchain is proved theoretically. Carried out experiments put forth that our approach offers 50% better energy efficiency, which outperforms traditional consensus algorithms, i.e., Proof of Work and PBFT, in terms of throughput and network latency and offers better scheduling performance.","Blockchain, SDN, Task scheduling, IoT, Deep Reinforcement Learning, Fog computing",,
Journal Article,"Wu H,Zhu ZH",,Improved results on distributed observer-based positive edge consensus,Journal of the Franklin Institute,2022,,,,,,,2022,,0016-0032,https://www.sciencedirect.com/science/article/pii/S0016003222003052;http://dx.doi.org/10.1016/j.jfranklin.2022.05.016,10.1016/j.jfranklin.2022.05.016,"This paper revisits the observer-based positive edge consensus problem for nodal networks. So far, existing positive edge consensus of directed networks with less conservative connectivity conditions have to use the global topology information. On the other hand, instead of using global topology information, the positive consensus conditions using the bounds of the eigenvalues of the Laplacian matrix are conservative. To tackle these problems, less conservative bounds of the eigenvalues of the Laplacian matrix are presented. Based on a general distributed observer-based approach, the necessary and sufficient conditions of the edge consensus are derived. And then, with the improved bounds of the Laplacian eigenvalues, less conservative sufficient conditions without using global topology information are given. By solving the algebraic Riccati inequalities, semi-definite programming algorithms are developed to obtain the solutions. Finally, simulation results are also given to illustrate the given results.",,,
Book Chapter,"Li H,Xia D,Lü Q,Wang Z,Wu X,Wang H,Ji L","Li H,Xia D,Lü Q,Wang Z,Wu X,Wang H,Ji L",Chapter 3 - Second-order consensus of multi-agent systems with nonlinear dynamics over random switching directed networks,,2021,,,39-64,Academic Press,,Second-Order Consensus of Continuous-Time Multi-Agent Systems,2021,9780323901314.0,,https://www.sciencedirect.com/science/article/pii/B9780323901314000108;http://dx.doi.org/10.1016/B978-0-32-390131-4.00010-8,10.1016/B978-0-32-390131-4.00010-8,"In this chapter, we discuss the second-order consensus problem for multi-agent systems with nonlinear dynamics. Communication among agents is modeled as a randomly directed and periodically switching graph with different edge weights. The existence of any edge is probabilistic and independent of the existence of any other edge. We further allow each edge to be weighted differently. By applying the orthogonal decomposition method the system state vector can be decomposed as two transversal components, one of which evolves along the consensus manifold, and the other evolves transversally with the consensus manifold. Several sufficient conditions for asymptotically almost sure consensus are derived for the cases of time-delay-free coupling and time-delay coupling, respectively. For the first case, we find that if there exists one directed spanning tree in the network corresponding to the fixed time-average topology with sufficiently fast switching rate of the dynamic network, then a second-order dynamic consensus can be guaranteed by the choice of suitable parameters. For the second case, we propose three criteria based on algebraic inequality for reaching a second-order dynamic consensus. The obtained results are quite powerful and can be further used to solve various switching cases for complex dynamical networks. Finally, we provide numerical simulations illustrating the feasibility and effectiveness of the obtained theoretical results.","Second-order consensus, Random switching, Multi-agent systems, Nonlinear dynamics, Time-delay(-free) coupling, Directed spanning tree",,
Journal Article,"Chang B,Zhu C",,Edge-based dynamic event-triggered mean square consensus control for stochastic multi-agent systems under weight-balanced digraph,Applied Mathematics and Computation,2022,428.0,,127210,,,,2022,,0096-3003,https://www.sciencedirect.com/science/article/pii/S0096300322002843;http://dx.doi.org/10.1016/j.amc.2022.127210,10.1016/j.amc.2022.127210,"This paper focuses on the problem of mean square consensus for stochastic multi-agent systems. A new asynchronous edge-based dynamic event-triggered control protocol based on directed edges is designed. Using this event-triggered control protocol can reduce the frequency of event-triggered, save communication resources and avoid Zeno behavior. Since events on different edges occur independently of each other, there is no need for clock synchronization among neighbors. Besides, we relax the constraints on the communication topology of multi-agent systems by limiting it only to a weight-balanced digraph containing a directed spanning tree. In addition, the stochastic multi-agent systems can reach mean square consensus exponentially. Finally, this paper illustrates the effectiveness of the proposed asynchronous edge-based dynamic event-triggered control protocol by a simulation example.","Edge-based protocol, Directed topology, Stochastic multi-agent systems, Dynamic event-triggered control",,
Journal Article,"Sun Y,Su H,Chen S",,Semi-global observer-based nonnegative edge-consensus of linear discrete-time multi-agent systems with nonnegative constraint and input saturation,Neurocomputing,2019,339.0,,36-44,,,,2019,,0925-2312,https://www.sciencedirect.com/science/article/pii/S0925231219300025;http://dx.doi.org/10.1016/j.neucom.2018.12.072,10.1016/j.neucom.2018.12.072,"This paper studies the observer-based edge-consensus of linear discrete-time multi-agent systems on undirected networks, in which the state of each edge is subject to nonnegative constraint, and the input of each edge is limited by actuator saturation. By utilizing the MARE-based low-gain output feedback method and the positive system theory, the observer-based edge interacting algorithm is developed to guarantee the nonnegative edge-consensus. Meanwhile, the sufficient conditions are found to guarantee the nonnegative edge-states and the bounded control input. In addition, the edge-consensus protocol and the sufficient conditions do not use the global information of communication network, which are only dependent on the edge number and the vertex number of communication network. Finally, a case is developed to verify the effectiveness and feasibility of the theoretical result.","Edge-consensus, Low-gain output feedback, Edge-state nonnegative constraint, Discrete-time",,
Book Chapter,"Mahmoud MS,Oyedeji MO,Xia Y","Mahmoud MS,Oyedeji MO,Xia Y",Chapter 7 - Distributed consensus on state-dependent evolutionary graphs,,2021,,,229-265,Academic Press,,Advanced Distributed Consensus for Multiagent Systems,2021,9780128211861.0,,https://www.sciencedirect.com/science/article/pii/B9780128211861000155;http://dx.doi.org/10.1016/B978-0-12-821186-1.00015-5,10.1016/B978-0-12-821186-1.00015-5,"In this chapter, we study consensus problems based on evolutionary graphs. In this context, the edges of the graph describing the network are determined by an evolutionary game described on graphs. First, we explore some concepts related to evolutionary game theory. Then we explore the concepts related to evolutionary graph theory. Subsequently, we proceed to define the concept of state-dependent evolutionary graphs. Finally, we study the average consensus problem on a state-dependent evolutionary graph.","State-dependent evolutionary graph, Game theory, Strategy, Extensive-form game, Cooperative game, Evolutionary stability, Moran process, Coalition",,
Journal Article,"Cao M,Zhou Q,Cheng Y",,Scaled consensus of second-order multi-agent systems based on edge-event driven control,Journal of the Franklin Institute,2022,359.0,14,7319-7336,,,,2022,,0016-0032,https://www.sciencedirect.com/science/article/pii/S001600322200521X;http://dx.doi.org/10.1016/j.jfranklin.2022.07.044,10.1016/j.jfranklin.2022.07.044,"In this paper, the scaled consensus of resource-limited multi-agent systems with second-order integrator dynamics and undirected topologies is investigated. In order to reduce bandwidth and computation requirements, a scaled consensus protocol based on periodic edge-event driven control is proposed. It is proven that all the agents could converge to a scaled consensus state while the interaction topology is connected. Moreover, a self-triggered scheme is proposed so as to further reduce communication times between agents. Notably, the event-detecting period is introduced so that Zeno behavior could be excluded in our model. Finally, simulations are given to demonstrate the effectiveness of our theoretical results.",,,
Journal Article,"Zhang H,Hu X",,Consensus control for linear systems with optimal energy cost,Automatica,2018,93.0,,83-91,,,,2018,,0005-1098,https://www.sciencedirect.com/science/article/pii/S0005109818301316;http://dx.doi.org/10.1016/j.automatica.2018.03.044,10.1016/j.automatica.2018.03.044,"In this paper, we design an optimal energy cost controller for linear systems asymptotic consensus given the topology of the graph. The controller depends only on relative information of the agents. Since finding the control gain for such controller is hard, we focus on finding an optimal controller among a classical family of controllers which is based on Algebraic Riccati Equation (ARE) and guarantees asymptotic consensus. Through analysis, we find that the energy cost is bounded by an interval and hence we minimize the upper bound. In order to do that, there are two classes of variables that need to be optimized: the control gain and the edge weights of the graph and are hence designed from two perspectives. A suboptimal control gain is obtained by choosing Q=0 in the ARE. Negative edge weights are allowed, and the problem is formulated as a Semi-definite Programming (SDP) problem. Having negative edge weights means that ``competitions'' between the agents are allowed. The motivation behind this setting is to have a better system performance. We provide a different proof compared to Thunberg and Hu (2016) from the angle of optimization and show that the lowest control energy cost is reached when the graph is complete and with equal edge weights. Furthermore, two sufficient conditions for the existence of negative optimal edge weights realization are given. In addition, we provide a distributed way of solving the SDP problem when the graph topology is regular.","Consensus control, Multi-agent systems, Optimal control, Semi-definite programming, Distributed optimization",,
Journal Article,"Tong X,Xie Q,Rong G,Zhou S,Meng Q",,Detection of consensuses and treatment principles of diabetic nephropathy in traditional Chinese medicine: A new approach,Journal of Traditional Chinese Medical Sciences,2015,2.0,4,270-283,,,,2015,,2095-7548,https://www.sciencedirect.com/science/article/pii/S2095754816000260;http://dx.doi.org/10.1016/j.jtcms.2016.02.001,10.1016/j.jtcms.2016.02.001,"Objective To propose and test a new approach based on community detection in the field of social computing for uncovering consensuses and treatment principles in traditional Chinese medicine (TCM). Methods Three Chinese databases (CNKI, VIP, and Wan Fang Data) were searched for published articles on TCM treatment of diabetic nephropathy (DN) from their inception until September 31, 2014. Zheng classification and herb data were extracted from included articles and used to construct a Zheng classification and treatment of diabetic nephropathy (DNZCT) network with nodes denoting Zhengs and herbs and edges denoting corresponding treating relationships among them. Community detection was applied to the DNZCT and detected community structures were analyzed. Results A network of 201 nodes and 743 edges were constructed and six communities were detected. Nodes clustered in the same community captured the same semantic topic; different communities had unique characteristics, and indicated different treatment principles. Large communities usually represented similar points of view or consensuses on common Zheng diagnoses and herb prescriptions; small communities might help to indicate unusual Zhengs and herbs. Conclusion The results suggest that the community detection-based approach is useful and feasible for uncovering consensuses and treatment principles of DN treatment in TCM, and could be used to address other similar problems in TCM.","Social computing, Community detection, Zheng classification and treatment, Diabetic nephropathy, Traditional Chinese medicine",,
Journal Article,"Waldner F,Diakogiannis FI",,Deep learning on edge: Extracting field boundaries from satellite images with a convolutional neural network,Remote Sensing of Environment,2020,245.0,,111741,,,,2020,,0034-4257,https://www.sciencedirect.com/science/article/pii/S0034425720301115;http://dx.doi.org/10.1016/j.rse.2020.111741,10.1016/j.rse.2020.111741,"Applications of digital agricultural services often require either farmers or their advisers to provide digital records of their field boundaries. Automatic extraction of field boundaries from satellite imagery would reduce the reliance on manual input of these records, which is time consuming, and would underpin the provision of remote products and services. The lack of current field boundary data sets seems to indicate low uptake of existing methods, presumably because of expensive image preprocessing requirements and local, often arbitrary, tuning. In this paper, we propose a data-driven, robust and general method to facilitate field boundary extraction from satellite images. We formulated this task as a multi-task semantic segmentation problem. We used ResUNet-a, a deep convolutional neural network with a fully connected UNet backbone that features dilated convolutions and conditioned inference to identify: 1) the extent of fields; 2) the field boundaries; and 3) the distance to the closest boundary. By asking the algorithm to reconstruct three correlated outputs, the model's performance and its ability to generalise greatly improve. Segmentation of individual fields was then achieved by post-processing the three model outputs, e.g., via thresholding or watershed segmentation. Using a single monthly composite image from Sentinel-2 as input, our model was highly accurate in mapping field extent, field boundaries and, consequently, individual fields. Replacing the monthly composite with a single-date image close to the compositing period marginally decreased accuracy. We then showed in a series of experiments that, without recalibration, the same model generalised well across resolutions (10 m to 30 m), sensors (Sentinel-2 to Landsat-8), space and time. Building consensus by averaging model predictions from at least four images acquired across the season is paramount to reducing the temporal variations of accuracy. Our convolutional neural network is capable of learning complex hierarchical contextual features from the image to accurately detect field boundaries and discard irrelevant boundaries, thereby outperforming conventional edge filters. By minimising over-fitting and image preprocessing requirements, and by replacing local arbitrary decisions by data-driven ones, our approach is expected to facilitate the extraction of individual crop fields at scale.","Agriculture, Field boundaries, Sentinel-2, Semantic segmentation, Instance segmentation, Multitasking, Computer vision, Generalisation",,
Journal Article,"Zhang W,Wu Z,Han G,Feng Y,Shu L",,LDC: A lightweight dada consensus algorithm based on the blockchain for the industrial Internet of Things for smart city applications,Future Generation Computer Systems,2020,108.0,,574-582,,,,2020,,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X19333503;http://dx.doi.org/10.1016/j.future.2020.03.009,10.1016/j.future.2020.03.009,"A lightweight data consensus algorithm for the Industrial Internet of Things (IIoT) based on blockchain technology is proposed to ensure secure data transmission in the IIoT for smart city applications. The algorithm uses a distributed ledger on multiple edge gateways. Data consistency during data transmission is achieved using a two-path routing transmission strategy. The lightweight data block structure is an improvement over the traditional blockchain technology. The simulation results show that the proposed lightweight data consensus algorithm reduces the average hop count of data transmission, thereby reducing the probability of data being stolen. The accuracy of the data and the low energy consumption and delay are verified. The algorithm achieves high data accuracy and ensures the safety and reliability of the IIoT.","Smart city, Smart factory, IIoT, Blockchain, Data block, LDC",,
Journal Article,"Ren J,Song Q,Gao Y,Zhao M,Lu G",,Leader-following consensus of delayed neural networks under multi-layer signed graphs,Neurocomputing,2021,450.0,,168-182,,,,2021,,0925-2312,https://www.sciencedirect.com/science/article/pii/S0925231221003593;http://dx.doi.org/10.1016/j.neucom.2021.03.009,10.1016/j.neucom.2021.03.009,"This paper considers the leader-following consensus problem for delayed neural networks with multi-layer signed digraph topologies. Both structurally balanced and unbalanced topologies are considered. By using the structural balance theory and the pinning control strategy, some sufficient conditions are given to guarantee that the bipartite leader-following consensus can be reached in structurally balanced multi-layer signed neural networks, which depend on the node dynamics and the topology of the multi-layer signed network. In addition, a scheme is designed for selecting the pinning nodes and gains of each layer to achieve bipartite leader-following consensus. When the multi-layer signed network is structurally unbalanced, the asymptotic stability of the neural network is investigated by decomposing the structurally unbalanced network into a structurally balanced subgraph and some special edges. The conditions proposed in this paper are also suitable for addressing the consensus problem of traditional single layer signed neural networks. Numerical examples are given to illustrate the correctness and effectiveness of the proposed theorems and algorithms.","Multi-layer networks, Signed graphs, Leader-following consensus, Neural networks, Structurally balanced, Structurally unbalanced",,
Journal Article,"Felline A,Seeber M,Fanelli F",,PSNtools for standalone and web-based structure network analyses of conformational ensembles,Computational and Structural Biotechnology Journal,2022,20.0,,640-649,,,,2022,,2001-0370,https://www.sciencedirect.com/science/article/pii/S2001037022000095;http://dx.doi.org/10.1016/j.csbj.2021.12.044,10.1016/j.csbj.2021.12.044,"Structure graphs, in which interacting amino acids/nucleotides correspond to linked nodes, represent cutting-edge tools to investigate macromolecular function. The graph-based approach defined as Protein Structure Network (PSN) was initially implemented in the Wordom software and subsequently in the webPSN server. PSNs are computed either on a molecular dynamics (MD) trajectory (PSN-MD) or on a single structure. In the latter case, information on atomic fluctuations is inferred from the Elastic Network Model-Normal Mode Analysis (ENM-NMA) (PSN-ENM). While Wordom performs both PSN-ENM and PSN-MD analyses but without output post-processing, the webPSN server performs only single-structure PSN-EMN but assisting the user in input setup and output analysis. Here we release for the first time the standalone software PSNtools, which allows calculation and post-processing of PSN analyses carried out either on single structures or on conformational ensembles. Relevant unique and novel features of PSNtools are either comparisons of two networks or computations of consensus networks on sets of homologous/analogous macromolecular structures or conformational ensembles. Network comparisons and consensus serve to infer differences in functionally different states of the same system or network-based signatures in groups of bio-macromolecules sharing either the same functionality or the same fold. In addition to the new software, here we release also an updated version of the webPSN server, which allows performing an interactive graphical analysis of PSN-MD, following the upload of the PSNtools output. PSNtools, the auxiliary binary version of Wordom software, and the WebPSN server are freely available at http://webpsn.hpc.unimo.it/wpsn3.php.","Molecular simulations, Protein structure networks, Structural communication",,
Journal Article,"Puerta JM,Aledo JA,Gámez JA,Laborda JD",,Efficient and accurate structural fusion of Bayesian networks,Information Fusion,2021,66.0,,155-169,,,,2021,,1566-2535,https://www.sciencedirect.com/science/article/pii/S156625352030364X;http://dx.doi.org/10.1016/j.inffus.2020.09.003,10.1016/j.inffus.2020.09.003,"Bayesian Network (BN) fusion provides a precise theoretical framework for aggregating the graphical structure of a set of BNs into a consensus network. The fusion process depends on a total ordering of the variables, but both the problem of searching for an optimal consensus structure (according to the standard problem definition) as well as the one of looking for the optimal ordering are NP-hard. In this paper we start with this theoretical framework and extend it from a practical point of view. The two main methodological contributions we make are: (1) an adaptation of the well-known BN learning algorithm GES (Greedy Equivalence Search) to the case of having a set of BNs as input instead of data (we prove the correctness of the adapted algorithm, i.e., under certain standard assumptions the optimal solution for the BN fusion process is obtained); and (2) a heuristic method for identifying a suitable order of the variables, which allows us to obtain consensus BNs having (far) fewer edges than those obtained by using random orderings. Finally, we design several computational experiments to test our proposals. From the results, we can conclude that the consensus network can be efficiently obtained by using the proposed heuristic to compute the total order of the variables, with this DAG being very close to the optimal one.","Bayesian networks, Aggregation, Fusion, Consensus, Heuristic orders",,
Journal Article,"Zhang J,Zhang H,Li W,Li K",,Distributed edge-event triggered consensus control for multi-agent systems by edge-based asynchronous communications,Applied Mathematics and Computation,2021,397.0,,125920,,,,2021,,0096-3003,https://www.sciencedirect.com/science/article/pii/S0096300320308730;http://dx.doi.org/10.1016/j.amc.2020.125920,10.1016/j.amc.2020.125920,"This paper investigates the consensus problem for a class of nonlinear multi-agent systems (MASs) under static and dynamic distributed edge-event triggered control protocols. The novel asynchronous edge-event triggered mechanisms are proposed to avoid continuous information transmission between neighbors, under which each subsystem does not exhibit the Zeno behavior. Compared with the existing works, the highlight of this paper is based on edge communication and the construction of triggering mechanism depends on the information of the edge. Moreover, compared with the event-triggered mechanism, the edge-event triggered mechanism is a more distributed information exchange mode and each agent transmits information to its out-neighbors asynchronously, thus effectively reducing the use of system resources. Finally, a practice simulation example is introduced to demonstrate the main results of this paper. Moreover, in order to highlight the advantages of our methods, a comparative experiment is performed.","Lipschitz nonlinear dynamics, Edge-event triggered mechanism, Adaptive control, Distributed control protocol, Zeno behavior",,
Journal Article,Estrada E,,Rethinking structural balance in signed social networks,Discrete Applied Mathematics,2019,268.0,,70-90,,,,2019,,0166-218X,https://www.sciencedirect.com/science/article/pii/S0166218X1930229X;http://dx.doi.org/10.1016/j.dam.2019.04.019,10.1016/j.dam.2019.04.019,"Signed social networks account for the situation in which friendship, trust, alliance -- represented by positive edges -- coexist with relations of dislike, distrust,conflict --- represented by negative edges. According to Heider's hypothesis of balance certain combinations of positive and negative edges in a network confer stability-balance-to the networks, while others -- imbalanced networks -- are unstable and tend towards balance. Here, we review the concept of structural balance starting from ``first principles'' based on the original formulation of Heider. Based on Harary's ``tendency towards completeness'' hypothesis we formulate that a network is balanced if it can give rise to a balanced complete signed graph. We then propose an algorithm for edge completion of networks and prove several results concerning the balance of cycles, and graphs. We then consider balance as a dynamic process in which the entities of the system try to make agreements by pairs to reach consensus or ``agreed upon dissensus''. At this point we arrive at a few general conditions that any index quantifying the degree of balance -- or degree of imbalance -- has to have. We then analyze a degree of balance index proposed by Estrada and Benzi (2014) and show that it fulfills all these requirements. In contrast, we show how some other approaches to quantify the degree of balance are incomplete and we provide examples of the difficulties found with their use. Using all these developed conceptions about the level of balance in signed social networks we proceed to the study of the international relation among countries in the world for the period 1938--2008. We conclude that the system of international relations is highly imbalanced for the whole period with no trend to increasing balance with the passage of time. Finally, we consider the use of degree of balance indices relative to null models and clarify that they do not account for the degree of balance of a signed network but for the ``effort'' needed to create such degree of balance among a large set of randomly shuffled networks.",,,
Journal Article,"Cao M,Xiao F,Wang L",,Second-order consensus in time-delayed networks based on periodic edge-event driven control,Systems & Control Letters,2016,96.0,,37-44,,,,2016,,0167-6911,https://www.sciencedirect.com/science/article/pii/S016769111630086X;http://dx.doi.org/10.1016/j.sysconle.2016.07.001,10.1016/j.sysconle.2016.07.001,"The second-order consensus problems in multi-agent systems with undirected topologies and time-invariant delays are considered in this paper. The time-delay robustness of a consensus protocol based on periodic edge-event driven control is investigated, and the studied protocol can largely reduce the communication and controller-updating costs. The relationship between time delays and event-detecting period is characterized. By Lyapunov methods, it is shown that the protocol can solve state consensus problems when the interaction topology is connected, and the system does not exhibit Zeno behavior. Finally, simulations are given to demonstrate the effectiveness of our theoretical results.","Consensus, Sampled-data control, Edge events, Time delays",,
Journal Article,"Hu S,Huang S,Huang J,Su J",,Blockchain and edge computing technology enabling organic agricultural supply chain: A framework solution to trust crisis,Computers & Industrial Engineering,2021,153.0,,107079,,,,2021,,0360-8352,https://www.sciencedirect.com/science/article/pii/S036083522030749X;http://dx.doi.org/10.1016/j.cie.2020.107079,10.1016/j.cie.2020.107079,"The credibility of information on organic agri-products has always blocked the participation of small and medium-sized farms in high value-added agriculture. However, the inherent characteristics of the organic agricultural supply chain (OASC)--such as centralization, monopoly, and asymmetry--have repeatedly plunged OASC into the predicament of information non-transparency. Ultimately, it results in a severe trust crisis of consumers. Fortunately, the emerging blockchain and edge computing technology probably raise an opportunity to improve this issue. Despite the overwhelming advantage (such as tamper-resistant, trust-free, transparent, decentralized, and immutable), this technology has to overcome the imperfection of cost and efficiency before it can be employed by OASC, particularly for geographically dispersed small and medium-sized farms in remote areas. In this paper, we first leverage the immutability of blockchain and the paradigm of edge computing to construct an OASC's trust framework, which has a much better trade-off between cost and efficiency. Further, according to the scenarios of OASC, we divide all the stakeholders into four roles, proposing a novel consensus mechanism to manage the information flow. The evaluation results demonstrate that our proposal can significantly achieve the performance improvement as well as the cost decline compared to the traditional approach. This framework will also make affordable traceability solutions for those in developing countries at a low cost in the future.","Blockchain, Organic agricultural supply chain (OASC), Edge computing, Traceability, Trust",,
Journal Article,"Dabbaghjamanesh M,Moeini A,Kavousi-Fard A,Jolfaei A",,Real-time monitoring and operation of microgrid using distributed cloud--fog architecture,Journal of Parallel and Distributed Computing,2020,146.0,,15-24,,,,2020,,0743-7315,https://www.sciencedirect.com/science/article/pii/S0743731520303130;http://dx.doi.org/10.1016/j.jpdc.2020.06.006,10.1016/j.jpdc.2020.06.006,"In this paper, a new distributed multi-agent framework based on the three layers' fog computing architecture is developed for real-time microgrid economic dispatch and monitoring. To this end, the changes of load at any time will be tracked by the proposed technique, considering unit sudden exits and entries. Moreover, to make the system more realistic, different renewable energies, including photovoltaics (PVs), wind turbines (WTs), fuel cells (FCs), and microturbines (MT) are considered in the proposed technique. To overcome the complexity of the problem, by using advantages of fog computing, a new fast consensus-based optimization algorithm is used, which is modified based on the fuzzy adaptive leader technique. Finally, the proposed technique is simulated and tested on microgrids with 6 and 14 buses, respectively. Simulation results demonstrate and validate the effectiveness of the proposed technique, as well as the capability to track the changes of load with the interactions in real-time and the fast convergence rate.","Microgrid, Energy management, Fog computing, Consensus, Distributed optimization",,
Journal Article,"Arun Kumar S,Chowdhury NR,Srikant S,Raisch J",,Consensus analysis of systems with time-varying interactions : An event-triggered approach,IFAC-PapersOnLine,2017,50.0,1,9349-9354,,,,2017,,2405-8963,https://www.sciencedirect.com/science/article/pii/S2405896317319997;http://dx.doi.org/10.1016/j.ifacol.2017.08.1433,10.1016/j.ifacol.2017.08.1433,"We present consensus analysis of systems with single integrator dynamics interacting via time-varying graphs under the event-triggered control paradigm. Event-triggered control sparsifies the control applied, thus reducing the control effort expended. Initially, we consider a multi-agent system with persistently exciting interactions and study the behaviour under the application of event-triggered control with two types of trigger functions- static and dynamic trigger. We show that while in the case of static trigger, the edge-states converge to a ball around the origin, the dynamic trigger function forces the states to reach consensus exponentially. Finally, we extend these results to a more general setting where we consider switching topologies. We show that similar results can be obtained for agents interacting via switching topologies and validate our results by means of simulations.",,20th IFAC World Congress,
